"page_position","product_id","product_url","title_display","store_or_brand_display","rating_display","price_display","original_price_display","sold_display","sold_display_abbreviated","discount_display","promotion_labels","review_note"
"86","1729755385598022309","https://shop.tiktok.com/us/pdp/lounge-dress-plus-size-colorblock-womens-casual-raglan-sleeve-midi-dress/1729755385598022309","【Plus Size】 Women's Colorblock Raglan Sleeve Lounge Dress Loungewear, Casual Soft Comfortable Round Neck Short Sleeve Midi Dress for Everyday Home Wear, Sleepwear Nightdress for All Seasons, Summer Lounge Dress, for Lady, Nightwear Loungewear","","4.6","$22.32","","1.9K","true","","",""
"87","1732440023328395811","https://shop.tiktok.com/us/pdp/womens-striped-halter-top-shorts-set-summer-beach-outfit/1732440023328395811","Women's Striped Halter Top and Shorts Set V-Neck Cutout Crop Top with Elastic Waist Shorts, Elegant Chic Casual Style, Ideal for Summer Beach Vacation Clothes","","3.8","$14.91","$23.29","536","false","-36%","",""
"88","1732292523592880841","https://shop.tiktok.com/us/pdp/dynoppy-chiffon-polka-dot-crop-top-babydoll-fit-summer-blouse/1732292523592880841","Chiffon Polka Dot Crop Top Women Cute Babydoll Daily Outfit Blouse Summer Tops","","4.0","$27.31","","4.3K","true","","",""
"89","1732386334455403152","https://shop.tiktok.com/us/pdp/mexico-soccer-jersey-2026-aztec-pattern-eagle-crest-fitted/1732386334455403152","Mexico Soccer T-shirt 2026 White, Aztec Ethnic Geometric Print Pattern Shirt, Mexican Pride Futbol Tee, Eagle Crest T-shirt, Mexico Fan Apparel","","4.6","$17.43","","7.3K","true","","",""
"90","1732374836943884863","https://shop.tiktok.com/us/pdp/fiery-soul-skull-t-shirt-dark-humor-mom-gift-cotton/1732374836943884863","Fiery Soul"" Skull — Satirical Dark Humor T-Shirt, Fun & Sarcastic Mom Gift, Mother's Day Present TShirt","","4.8","$8.16","","2.2K","true","","",""
"91","1729572365737431956","https://shop.tiktok.com/us/pdp/graphic-tee-by-comfort-colors-unisex-womens-power-print-oversized-t-shirt/1729572365737431956","Comfort Colors How Hard Can It Be? Boys Do It Shirt, Women Power Graphic Printed Tee, Feminist Meme Unhinged Top, Funny Shirt For Women","","4.9","$9.09","$12.99","8.7K","true","-30%","",""
"92","1729449860786852058","https://shop.tiktok.com/us/pdp/vintage-varsity-college-football-t-shirt-by-unbranded-50-cotton-blend/1729449860786852058","Vintage Varsity College T Shirt State Varsity T Shirt","","4.7","$21.25","$25.00","46.3K","true","-15%","Limited time deal",""
"93","1732203612451999997","https://shop.tiktok.com/us/pdp/womens-moomoo-scarf-set-by-moomoo-floral-print-all-seasons/1732203612451999997","Moomoo Women's 2-Piece Plus Size Kaftan Set - Smooth Satin Fabric, Chic Oversized Bohemian Rose Floral Print Maxi Dress with Scarf for Party, Beach Vacation, Drape,sohochic","","4.6","$9.60","$18.00","10.1K","true","-47%","",""
"94","1729501518107153503","https://shop.tiktok.com/us/pdp/eytino-plus-size-striped-v-neck-sweater-casual-spring-top/1729501518107153503","Eytino Plus Size Tops for Women Striped V Neck Short Sleeve Hollow Out Crochet Knit Sweater 2026 Sping Clothes Outfits(1X-5X)","","4.8","$19.99","","2.8K","true","","",""
"95","1732298265664721398","https://shop.tiktok.com/us/pdp/chicme-womens-vintage-print-dress-v-neck-flare-sleeves/1732298265664721398","CHICME Women's Vintage Print Maxi Dress V-Neck Flare Sleeve High Waist Shirred Back A-Line Boho Vacation Dress/Summer Dress","chicme","3.9","$35.74","$45.99","529","false","-22%","",""
